state,forecast_month,forecast_value,lower_bound,upper_bound
ANDAMAN AND NICOBAR ISLANDS,2026-01-01,477.6135496747028,-2325.9207063213407,3281.1478056707465
ANDAMAN AND NICOBAR ISLANDS,2026-02-01,477.6135496747004,-2325.9207063213435,3281.1478056707438
ANDAMAN AND NICOBAR ISLANDS,2026-03-01,477.61354967469794,-2325.9207063213457,3281.1478056707415
ANDHRA PRADESH,2026-01-01,503.3882454541733,-549.8979732930115,1556.6744642013582
ANDHRA PRADESH,2026-02-01,469.68303395673917,-609.4333257843912,1548.7993936978694
ANDHRA PRADESH,2026-03-01,445.4557828151145,-646.7669490269617,1537.6785146571906
ARUNACHAL PRADESH,2026-01-01,44.593931669036564,10.071438841323378,79.11642449674974
ARUNACHAL PRADESH,2026-02-01,50.88709233582382,1.815149183227227,99.95903548842043
ARUNACHAL PRADESH,2026-03-01,53.09616429702556,2.520254856583101,103.67207373746803
ASSAM,2026-01-01,41.495886300222246,20.77076776092249,62.221004839522
ASSAM,2026-02-01,39.24597459734921,16.474062925128194,62.017886269570226
ASSAM,2026-03-01,38.17237298987894,14.959626436109371,61.3851195436485
BIHAR,2026-01-01,41.55288141764797,22.70402625607137,60.40173657922456
BIHAR,2026-02-01,39.09506926247881,18.622709026926838,59.567429498030776
BIHAR,2026-03-01,37.843145919850635,16.970184428371645,58.716107411329624
CHANDIGARH,2026-01-01,788.6305999188704,-964.2382874708172,2541.499487308558
CHANDIGARH,2026-02-01,580.8445704136898,-1172.0300705860236,2333.719211413403
CHANDIGARH,2026-03-01,788.5801195527873,-964.3002722428097,2541.4605113483844
CHHATTISGARH,2026-01-01,252.4683273744788,27.618314605739272,477.31834014321834
CHHATTISGARH,2026-02-01,213.89576861764178,-67.78906356794536,495.5806008032289
CHHATTISGARH,2026-03-01,236.76985225457287,-62.34617142331422,535.88587593246
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-01-01,-203.6042243079556,-1475.6962940537042,1068.487845437793
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-02-01,392.40240995620593,-1080.2246043112548,1865.0294242236666
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-03-01,156.0406289817817,-1345.6900108431935,1657.771268806757
DELHI,2026-01-01,98.57837887360303,45.96509326575152,151.19166448145455
DELHI,2026-02-01,96.11506222407633,40.848209632697895,151.38191481545476
DELHI,2026-03-01,94.60002296219929,38.36202314786641,150.83802277653217
GOA,2026-01-01,313.5589295067366,-327.855911953402,954.9737709668752
GOA,2026-02-01,313.55892948229683,-327.8559119851904,954.973770949784
GOA,2026-03-01,313.55892945785735,-327.8559120169785,954.9737709326932
GUJARAT,2026-01-01,71.26505280544313,31.575215836459755,110.9548897744265
GUJARAT,2026-02-01,75.09800567478543,26.23739270542734,123.95861864414351
GUJARAT,2026-03-01,76.7493727112127,26.369857560063394,127.128887862362
HARYANA,2026-01-01,288.4957332948304,109.98428903490722,467.00717755475364
HARYANA,2026-02-01,286.53329114535205,106.83402239985918,466.2325598908449
HARYANA,2026-03-01,284.89284025408693,104.36819700939171,465.4174834987822
HIMACHAL PRADESH,2026-01-01,1042.363642325113,-885.1261199127716,2969.8534045629976
HIMACHAL PRADESH,2026-02-01,1012.6319737632135,-934.4522881325432,2959.71623565897
HIMACHAL PRADESH,2026-03-01,988.6902755108898,-970.9951795340552,2948.3757305558347
JAMMU AND KASHMIR,2026-01-01,42.96230396177614,-312.0663674154001,397.99097533895235
JAMMU AND KASHMIR,2026-02-01,163.61914703523405,-191.4212119685863,518.6595060390543
JAMMU AND KASHMIR,2026-03-01,42.997508622904554,-312.0545308038409,398.04954804965
JHARKHAND,2026-01-01,57.035138283982135,-36.10843426667286,150.17871083463712
JHARKHAND,2026-02-01,55.68771434165595,-41.05342381183388,152.42885249514578
JHARKHAND,2026-03-01,56.1720364937107,-41.02419174341126,153.36826473083266
KARNATAKA,2026-01-01,113.88352078360226,68.1938246251116,159.57321694209293
KARNATAKA,2026-02-01,94.76977549843751,47.10027156520529,142.43927943166972
KARNATAKA,2026-03-01,107.00410087331161,58.546818324010964,155.46138342261227
KERALA,2026-01-01,206.8658976267298,-348.89967654385845,762.631471797318
KERALA,2026-02-01,206.4448081199607,-349.3207660558546,762.2103822957761
KERALA,2026-03-01,206.8658953125729,-348.8996788684693,762.6314694936151
LADAKH,2026-01-01,205.3206643872308,-381.78945178255645,792.4307805570181
LADAKH,2026-02-01,171.2158313148533,-473.6812554938206,816.1129181235272
LADAKH,2026-03-01,154.91375043392569,-502.4741683263933,812.3016691942446
LAKSHADWEEP,2026-01-01,34.11978249164202,-35.40176229750197,103.64132728078602
LAKSHADWEEP,2026-02-01,31.67915341388075,-49.14970662831911,112.50801345608062
LAKSHADWEEP,2026-03-01,30.857801355339852,-51.153440861041766,112.86904357172148
MADHYA PRADESH,2026-01-01,63.94620610626946,18.385681296851473,109.50673091568744
MADHYA PRADESH,2026-02-01,59.64068086686426,11.047868135432928,108.23349359829558
MADHYA PRADESH,2026-03-01,61.40547785098043,12.321584970524782,110.48937073143608
MAHARASHTRA,2026-01-01,238.71405668185676,141.75568680168723,335.6724265620263
MAHARASHTRA,2026-02-01,196.61990075249207,73.06955332078402,320.1702481842001
MAHARASHTRA,2026-03-01,201.9053758986627,77.98145947850053,325.82929231882486
MANIPUR,2026-01-01,109.42556025886425,45.302919897379155,173.54820062034935
MANIPUR,2026-02-01,114.26597581967428,39.600480734042634,188.93147090530593
