date,state,district,pincode,demo_age_5_17,demo_age_17_
16-12-2025,Madhya Pradesh,Shajapur,465113,0,4
16-12-2025,Madhya Pradesh,Shajapur,465226,2,14
16-12-2025,Madhya Pradesh,Shajapur,465339,1,2
16-12-2025,Madhya Pradesh,Shajapur,465447,1,19
16-12-2025,Madhya Pradesh,Sheopur,476332,11,25
16-12-2025,Madhya Pradesh,Sheopur,476335,8,34
16-12-2025,Madhya Pradesh,Sheopur,476337,7,77
16-12-2025,Madhya Pradesh,Sheopur,476339,8,53
16-12-2025,Madhya Pradesh,Shivpuri,473585,3,17
16-12-2025,Madhya Pradesh,Shivpuri,473670,8,39
16-12-2025,Madhya Pradesh,Shivpuri,473770,5,35
16-12-2025,Madhya Pradesh,Shivpuri,473781,1,48
16-12-2025,Madhya Pradesh,Shivpuri,473885,1,29
16-12-2025,Madhya Pradesh,Shivpuri,475110,0,3
16-12-2025,Madhya Pradesh,Singrauli,486881,8,39
16-12-2025,Madhya Pradesh,Singrauli,486892,6,33
16-12-2025,Madhya Pradesh,Tikamgarh,472111,13,43
16-12-2025,Madhya Pradesh,Tikamgarh,472115,2,27
16-12-2025,Madhya Pradesh,Tikamgarh,472446,1,3
16-12-2025,Madhya Pradesh,Tikamgarh,472447,0,7
16-12-2025,Madhya Pradesh,Ujjain,456001,4,38
16-12-2025,Madhya Pradesh,Ujjain,456331,0,6
16-12-2025,Madhya Pradesh,Ujjain,456550,2,22
16-12-2025,Madhya Pradesh,Ujjain,456771,4,12
16-12-2025,Madhya Pradesh,Umaria,484001,0,8
16-12-2025,Madhya Pradesh,Umaria,484555,0,26
16-12-2025,Madhya Pradesh,Vidisha,464001,7,40
16-12-2025,Madhya Pradesh,Vidisha,464114,8,34
16-12-2025,Madhya Pradesh,Vidisha,464221,10,47
16-12-2025,Madhya Pradesh,Vidisha,464224,8,13
16-12-2025,Madhya Pradesh,Vidisha,464258,1,3
16-12-2025,Madhya Pradesh,West Nimar,451115,0,2
16-12-2025,Maharashtra,Ahilyanagar,413714,0,1
16-12-2025,Maharashtra,Ahilyanagar,414005,2,1
16-12-2025,Maharashtra,Ahilyanagar,414111,0,2
16-12-2025,Maharashtra,Ahilyanagar,414305,0,1
16-12-2025,Maharashtra,Ahilyanagar,422604,0,2
16-12-2025,Maharashtra,Ahilyanagar,422605,0,4
16-12-2025,Maharashtra,Ahilyanagar,422610,0,2
16-12-2025,Maharashtra,Ahilyanagar,422620,0,1
16-12-2025,Maharashtra,Ahilyanagar,423109,1,1
16-12-2025,Maharashtra,Ahmadnagar,413709,2,39
16-12-2025,Maharashtra,Ahmadnagar,413710,0,8
16-12-2025,Maharashtra,Ahmadnagar,413717,1,2
16-12-2025,Maharashtra,Ahmadnagar,413721,0,10
16-12-2025,Maharashtra,Ahmadnagar,414006,0,21
16-12-2025,Maharashtra,Ahmadnagar,414105,0,33
16-12-2025,Maharashtra,Ahmadnagar,414201,0,3
16-12-2025,Maharashtra,Ahmadnagar,414306,0,12
16-12-2025,Maharashtra,Ahmadnagar,414502,1,49
16-12-2025,Maharashtra,Ahmadnagar,422601,0,35
16-12-2025,Maharashtra,Ahmadnagar,422608,0,2
16-12-2025,Maharashtra,Ahmadnagar,422620,1,25
16-12-2025,Maharashtra,Ahmadnagar,422622,2,16
16-12-2025,Maharashtra,Ahmadnagar,423107,4,14
16-12-2025,Maharashtra,Ahmadnagar,423602,0,13
16-12-2025,Maharashtra,Ahmed Nagar,413736,0,2
16-12-2025,Maharashtra,Akola,444003,1,10
16-12-2025,Maharashtra,Akola,444004,2,12
16-12-2025,Maharashtra,Akola,444104,0,6
16-12-2025,Maharashtra,Akola,444501,1,22
16-12-2025,Maharashtra,Akola,444502,1,2
16-12-2025,Maharashtra,Amravati,444708,0,4
16-12-2025,Maharashtra,Amravati,444801,3,19
16-12-2025,Maharashtra,Amravati,444802,0,6
16-12-2025,Maharashtra,Amravati,444806,5,15
16-12-2025,Maharashtra,Amravati,444901,0,1
16-12-2025,Maharashtra,Aurangabad,423703,0,8
16-12-2025,Maharashtra,Aurangabad,431005,2,10
16-12-2025,Maharashtra,Aurangabad,431101,2,15
16-12-2025,Maharashtra,Aurangabad,431110,3,7
16-12-2025,Maharashtra,Aurangabad,431115,1,14
