date,state,district,pincode,age_0_5,age_5_17,age_18_greater
31-12-2025,Karnataka,Bidar,585330,2,3,0
31-12-2025,Karnataka,Bidar,585402,6,0,0
31-12-2025,Karnataka,Bidar,585413,1,0,0
31-12-2025,Karnataka,Bidar,585418,1,2,0
31-12-2025,Karnataka,Bidar,585421,4,3,0
31-12-2025,Karnataka,Bidar,585437,2,2,0
31-12-2025,Karnataka,Bidar,585443,1,3,0
31-12-2025,Karnataka,Bijapur,586113,1,0,0
31-12-2025,Karnataka,Bijapur,586116,1,1,0
31-12-2025,Karnataka,Bijapur,586119,3,1,0
31-12-2025,Karnataka,Bijapur,586122,2,0,0
31-12-2025,Karnataka,Bijapur,586123,4,2,0
31-12-2025,Karnataka,Bijapur,586212,1,0,0
31-12-2025,Karnataka,Bijapur,586213,1,0,0
31-12-2025,Karnataka,Bijapur,586217,2,0,0
31-12-2025,Karnataka,Chamrajanagar,571127,1,0,0
31-12-2025,Karnataka,Chamrajanagar,571439,2,0,0
31-12-2025,Karnataka,Chamrajanagar,571442,1,0,0
31-12-2025,Karnataka,Chamrajnagar,571312,1,0,0
31-12-2025,Karnataka,Chickmagalur,577132,0,1,0
31-12-2025,Karnataka,Chickmagalur,577144,1,0,0
31-12-2025,Karnataka,Chickmagalur,577182,1,0,0
31-12-2025,Karnataka,Chickmagalur,577548,1,1,0
31-12-2025,Karnataka,Chikkaballapur,562102,3,0,0
31-12-2025,Karnataka,Chikkaballapur,563128,6,1,0
31-12-2025,Karnataka,Chikkaballapur,563146,6,1,0
31-12-2025,Karnataka,Chikkamagaluru,577128,1,0,0
31-12-2025,Karnataka,Chikmagalur,577101,2,0,0
31-12-2025,Karnataka,Chitradurga,577519,1,0,0
31-12-2025,Karnataka,Chitradurga,577522,11,4,0
31-12-2025,Karnataka,Chitradurga,577527,3,0,1
31-12-2025,Karnataka,Chitradurga,577532,2,0,0
31-12-2025,Karnataka,Chitradurga,577536,6,2,0
31-12-2025,Karnataka,Chitradurga,577540,4,1,0
31-12-2025,Karnataka,Chitradurga,577543,2,0,0
31-12-2025,Karnataka,Chitradurga,577597,1,0,1
31-12-2025,Karnataka,Dakshina Kannada,574142,1,1,0
31-12-2025,Karnataka,Dakshina Kannada,574150,1,0,0
31-12-2025,Karnataka,Dakshina Kannada,574199,3,0,0
31-12-2025,Karnataka,Dakshina Kannada,574214,2,0,0
31-12-2025,Karnataka,Dakshina Kannada,574228,1,0,0
31-12-2025,Karnataka,Dakshina Kannada,574241,2,3,0
31-12-2025,Karnataka,Dakshina Kannada,574259,1,0,0
31-12-2025,Karnataka,Dakshina Kannada,575008,1,0,0
31-12-2025,Karnataka,Dakshina Kannada,575014,2,0,0
31-12-2025,Karnataka,Dakshina Kannada,575022,3,0,0
31-12-2025,Karnataka,Dakshina Kannada,575028,1,0,0
31-12-2025,Karnataka,Dakshina Kannada,575030,9,0,0
31-12-2025,Karnataka,Davanagere,577001,1,1,0
31-12-2025,Karnataka,Davanagere,577002,2,0,0
31-12-2025,Karnataka,Davanagere,577004,4,0,0
31-12-2025,Karnataka,Davanagere,577006,0,1,0
31-12-2025,Karnataka,Davangere,577001,6,0,0
31-12-2025,Karnataka,Davangere,577003,1,0,0
31-12-2025,Karnataka,Davangere,577213,8,1,0
31-12-2025,Karnataka,Davangere,577224,0,3,1
31-12-2025,Karnataka,Davangere,577528,9,4,0
31-12-2025,Karnataka,Davangere,577553,1,1,0
31-12-2025,Karnataka,Davangere,583137,1,0,0
31-12-2025,Karnataka,Dharwad,580008,1,0,0
31-12-2025,Karnataka,Dharwad,580026,1,0,0
31-12-2025,Karnataka,Dharwad,580028,6,1,0
31-12-2025,Karnataka,Dharwad,580030,2,2,0
31-12-2025,Karnataka,Dharwad,580031,3,2,0
31-12-2025,Karnataka,Dharwad,580118,1,0,0
31-12-2025,Karnataka,Dharwad,581107,2,1,0
