state,year_month,enrol_age_5_17,enrol_age_18_plus,demo_age_5_17,demo_age_18_plus,bio_age_5_17,bio_age_18_plus,demo_ratio_5_17,demo_ratio_18_plus,bio_ratio_5_17,bio_ratio_18_plus,total_updates,total_enrolment,update_intensity,update_intensity_3m_avg,update_decay_signal,update_consistency
ANDAMAN & NICOBAR ISLANDS,2025-01,1,0,0.0,46.0,98.0,933.0,0.0,0.0,98.0,0.0,1077.0,1,1077.0,1077.0,0.0,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-02,0,0,0.0,44.0,17.0,51.0,0.0,0.0,0.0,0.0,112.0,0,0.0,538.5,-538.5,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-03,0,0,2.0,71.0,27.0,50.0,0.0,0.0,0.0,0.0,150.0,0,0.0,359.0,-359.0,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-04,0,0,0.0,74.0,11.0,36.0,0.0,0.0,0.0,0.0,121.0,0,0.0,0.0,0.0,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-05,0,0,1.0,43.0,13.0,45.0,0.0,0.0,0.0,0.0,102.0,0,0.0,0.0,0.0,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-08,0,0,0.0,39.0,7.0,50.0,0.0,0.0,0.0,0.0,96.0,0,0.0,0.0,0.0,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-09,1,0,1.0,21.0,22.0,38.0,1.0,0.0,22.0,0.0,82.0,1,82.0,27.333333333333332,54.66666666666667,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-11,0,0,0.0,73.0,12.0,54.0,0.0,0.0,0.0,0.0,139.0,0,0.0,27.333333333333332,-27.333333333333332,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,2025-12,0,0,0.0,43.0,23.0,51.0,0.0,0.0,0.0,0.0,117.0,0,0.0,27.333333333333332,-27.333333333333332,348.1358823686415
ANDAMAN & NICOBAR ISLANDS,NaT,3,0,9.0,504.0,141.0,589.0,3.0,0.0,47.0,0.0,1243.0,3,414.3333333333333,138.11111111111111,276.2222222222222,348.1358823686415
ANDAMAN AND NICOBAR ISLANDS,2025-01,2,0,180.0,1793.0,6369.0,5150.0,90.0,0.0,3184.5,0.0,13492.0,2,6746.0,6746.0,0.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-02,1,0,26.0,172.0,332.0,116.0,26.0,0.0,332.0,0.0,646.0,1,646.0,3696.0,-3050.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-03,1,0,21.0,291.0,212.0,79.0,21.0,0.0,212.0,0.0,603.0,1,603.0,2665.0,-2062.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-04,1,0,13.0,151.0,218.0,72.0,13.0,0.0,218.0,0.0,454.0,1,454.0,567.6666666666666,-113.66666666666663,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-05,0,0,18.0,114.0,234.0,60.0,0.0,0.0,0.0,0.0,426.0,0,0.0,352.3333333333333,-352.3333333333333,1829.8003400984098
