state,baseline_forecast,scenario_20pct,scenario_50pct,improvement_needed_for_median
PUDUCHERRY,2774.371009990327,3329.2452119883924,4161.55651498549,1.8022102963141303e-05
ANDAMAN AND NICOBAR ISLANDS,739.0932517325988,886.9119020791185,1108.6398775988982,6.765046208010815e-05
HIMACHAL PRADESH,988.6902755108898,1186.4283306130678,1483.0354132663347,5.057195487652926e-05
CHANDIGARH,788.1889916854291,945.8267900225148,1182.2834875281437,6.343656220455728e-05
ANDHRA PRADESH,445.4557828151145,534.5469393781374,668.1836742226717,0.00011224458617198465
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,312.9718569128742,375.56622829544904,469.4577853693113,0.00015975877349866353
ODISHA,231.29662587810816,277.55595105372976,346.9449388171622,0.00021617263031908508
TAMIL NADU,265.54063335127825,318.64876002153386,398.31095002691734,0.0001882950995822023
GOA,313.55892945785735,376.2707153494288,470.338394186786,0.00015945965910283558
LADAKH,154.91375043392569,185.89650052071082,232.37062565088854,0.0003227602447164699
