state,forecast_month,forecast_value,lower_bound,upper_bound
PUDUCHERRY,2026-01-01,2774.371009990327,-15534.075054789408,21082.81707477006
PUDUCHERRY,2026-02-01,2774.371009990327,-15534.075054789419,21082.81707477007
PUDUCHERRY,2026-03-01,2774.371009990327,-15534.07505478943,21082.817074770082
ANDAMAN AND NICOBAR ISLANDS,2026-01-01,739.0932515419555,-2826.118719368973,4304.305222452884
ANDAMAN AND NICOBAR ISLANDS,2026-02-01,739.1258051730173,-2826.086165737913,4304.337776083948
ANDAMAN AND NICOBAR ISLANDS,2026-03-01,739.0932517325988,-2826.1187191783333,4304.305222643531
HIMACHAL PRADESH,2026-01-01,1042.363642325113,-885.1261199127716,2969.8534045629976
HIMACHAL PRADESH,2026-02-01,1012.6319737632135,-934.4522881325432,2959.71623565897
HIMACHAL PRADESH,2026-03-01,988.6902755108898,-970.9951795340552,2948.3757305558347
CHANDIGARH,2026-01-01,788.2881766123612,-961.3528042038613,2537.9291574285835
CHANDIGARH,2026-02-01,578.9035070149442,-1170.748923770101,2328.5559377999894
CHANDIGARH,2026-03-01,788.1889916854291,-961.4748781485491,2537.8528615194073
ANDHRA PRADESH,2026-01-01,503.3882454541733,-549.8979732930115,1556.6744642013582
ANDHRA PRADESH,2026-02-01,469.68303395673917,-609.4333257843912,1548.7993936978694
ANDHRA PRADESH,2026-03-01,445.4557828151145,-646.7669490269617,1537.6785146571906
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-01-01,312.9718509643552,-1323.6195138370294,1949.5632157657396
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-02-01,313.0523704305362,-1323.5389943711261,1949.6437352321987
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2026-03-01,312.9718569128742,-1323.6195078890662,1949.5632217148147
ODISHA,2026-01-01,337.707541690609,-520.1658108837057,1195.5808942649237
ODISHA,2026-02-01,268.03492104977425,-657.9914135464555,1194.061255646004
ODISHA,2026-03-01,231.29662587810816,-712.8055099221303,1175.3987616783465
TAMIL NADU,2026-01-01,332.7088587218459,-423.2384737955624,1088.6561912392542
TAMIL NADU,2026-02-01,290.9276934139978,-504.81668802369194,1086.6720748516875
TAMIL NADU,2026-03-01,265.54063335127825,-544.402786229035,1075.4840529315913
GOA,2026-01-01,313.5589295067366,-327.855911953402,954.9737709668752
GOA,2026-02-01,313.55892948229683,-327.8559119851904,954.973770949784
GOA,2026-03-01,313.55892945785735,-327.8559120169785,954.9737709326932
LADAKH,2026-01-01,205.3206643872308,-381.78945178255645,792.4307805570181
LADAKH,2026-02-01,171.2158313148533,-473.6812554938206,816.1129181235272
LADAKH,2026-03-01,154.91375043392569,-502.4741683263933,812.3016691942446
