state,avg_update_intensity,total_updates,total_enrolment,state_status,priority_rank,region
ANDAMAN AND NICOBAR ISLANDS,708.316742081448,24501.0,27,DECAYING,2,Islands
ANDHRA PRADESH,401.1811535869761,6010215.0,15241,DECAYING,5,South
ARUNACHAL PRADESH,46.88794571111089,108837.0,2387,DECAYING,28,Northeast
ASSAM,34.84399742749961,1995300.0,88962,HEALTHY,34,Northeast
BIHAR,34.698321264594085,9711937.0,346710,DECAYING,32,East
CHANDIGARH,644.1138145480252,157843.0,247,DECAYING,4,North
CHHATTISGARH,230.8404634137188,4654163.0,20766,DECAYING,12,Central
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,293.70138888888886,6178.0,42,DECAYING,6,West
DELHI,90.4890042967775,2743296.0,25346,DECAYING,24,North
GOA,298.946645818593,103517.0,417,DECAYING,9,West
GUJARAT,77.26639726231787,5020841.0,87518,HEALTHY,29,West
HARYANA,267.9426515593676,2801594.0,10210,DECAYING,16,North
HIMACHAL PRADESH,882.1162289520961,545448.0,847,DECAYING,3,North
JAMMU AND KASHMIR,175.56719282670855,1197994.0,8535,HEALTHY,13,North
JHARKHAND,55.764306042787545,3427486.0,58988,DECAYING,20,East
KARNATAKA,98.18525385321277,4331239.0,43973,DECAYING,27,South
KERALA,194.72185658171887,2354682.0,21265,DECAYING,11,South
LADAKH,171.21369770580299,11498.0,151,DECAYING,10,North
LAKSHADWEEP,49.03846153846154,5996.0,11,HEALTHY,18,Islands
MADHYA PRADESH,59.64533078138637,8836709.0,125980,DECAYING,25,Central
MAHARASHTRA,190.2913994687648,14280741.0,90325,DECAYING,21,West
MANIPUR,108.18236631314787,584136.0,8316,HEALTHY,26,Northeast
MEGHALAYA,5.7494090135145175,175004.0,88592,HEALTHY,36,Northeast
MIZORAM,64.00583712282723,162235.0,1790,DECAYING,23,Northeast
NAGALAND,20.573178958242213,146384.0,11075,HEALTHY,35,Northeast
ODISHA,227.1044576091601,3486184.0,22955,DECAYING,7,East
PUDUCHERRY,2573.5876089427816,67625.0,160,DECAYING,1,South
PUNJAB,183.09756629201698,2621566.0,15522,DECAYING,19,North
RAJASTHAN,58.10858477308836,6812570.0,118678,DECAYING,22,West
SIKKIM,42.160643536882965,43160.0,1153,HEALTHY,31,Northeast
TAMIL NADU,250.48770096737246,6910345.0,38476,DECAYING,8,South
TELANGANA,125.98564303810227,3367562.0,25656,DECAYING,17,South
TRIPURA,97.70824647543631,430168.0,3909,DECAYING,15,Northeast
UTTAR PRADESH,36.381195987944096,18120063.0,497584,DECAYING,33,Central
UTTARAKHAND,237.19751867877875,1228400.0,5818,DECAYING,14,North
WEST BENGAL,74.372013044247,6396824.0,99908,DECAYING,30,East
